Группа;Название;Количество;Цена;Себестоимость
Роллы;/Темпура твист;428,000;270,00;49,36
Роллы;/Тести маки;79,000;260,00;71,70
Роллы;/Канада лайт ;556,000;299,00;131,67
Роллы;/Чикен чука;126,500;195,00;32,40
Роллы;/Темпура пай;410,500;180,00;30,78
Роллы;/Виола фьюжин;68,000;210,00;62,85
Роллы;/Мидзу маки;22,000;275,00;97,12
Роллы;/Калифорния эби;465,500;305,00;121,11
Роллы;/Унаги Хотто;347,000;335,00;125,24
Роллы;/Магуро фреш;84,000;175,00;49,92
Роллы;/Икура каппа;143,000;295,00;86,63
Роллы;/Филадельфия темпура;533,500;348,62;142,61
Роллы;/Темпура сяке;713,500;274,71;62,41
Роллы;/Темпура салмончиз гриль;579,000;295,00;56,91
Роллы;/Сяке маки;788,000;165,00;43,42
Роллы;/Эби васаби маки;193,000;295,00;80,84
Роллы;/Филадельфия твист;414,000;379,00;138,60
Роллы;/Унаги маки;391,000;195,00;60,68
Роллы;/Гриль -Твист;331,000;315,00;107,76
Роллы;/Сяке краб гриль;263,000;310,00;68,00
Роллы;/Цезарь темпура маки;483,000;269,53;47,60
Роллы;/Дабл крем чиз;407,000;265,00;51,25
Роллы;/Лава маки;510,000;298,57;72,51
Роллы;/Темпура Салмонскин;263,000;190,00;32,36
Роллы;/Имо маки;265,000;195,00;47,75
Роллы;/Темпура лава;974,500;298,79;85,02
Роллы;/Босутон;229,000;230,00;75,44
Роллы;/Эби Фрай;438,000;295,00;92,60
Роллы;/Эби папурико;77,000;195,00;46,45
Роллы;/Мидзу темпура;474,000;299,00;105,53
Роллы;/Ясай маки;176,000;150,00;26,08
Роллы;/Тираши темпура маки;795,000;165,00;33,08
Роллы;/Канада;604,000;464,64;219,34
Роллы;/Онабури маки;169,000;278,34;86,59
Роллы;/Филадельфия;5 081,000;345,00;136,63
Роллы;/Муругай маки;912,000;295,00;63,22
Роллы;/Пеппер сяке;200,000;265,00;115,69
Роллы;/Эби маки ФК;183,000;185,00;52,08
Роллы;/Унаги гома;84,000;240,00;55,60
Роллы;/Цезарь эби;258,500;305,00;76,57
Роллы;/Каппа маки;494,000;79,00;13,72
Роллы;/Каппа фила;263,000;259,26;62,09
Роллы;/Сяке тан ;142,500;220,00;40,37
Роллы;/Филадельфия лайт;1 689,000;295,00;109,57
Роллы;/Магуро терияки;198,000;290,00;90,09
Роллы;/Рокки Маки;267,500;165,00;47,83
Роллы;/Тираши маки;68,000;145,00;6,19
Роллы;/Сяке крем маки;137,000;295,00;84,46
Роллы;/Филадельфия икура;500,000;440,00;230,73
Роллы;/Мексика маки ;108,000;250,00;79,23
Роллы;/Темпура сяке унаги;585,500;305,00;81,62
Роллы;/Магуро каппа;71,000;250,00;62,00
Роллы;/Ролл Гейша ;290,000;230,00;62,68
Роллы;/Унаги кани темпура;191,000;295,00;90,94
Роллы;/Ошизуши гриль;209,000;180,00;44,18
Роллы;/Сяке ошизуши;502,000;165,00;42,69
Роллы;/Тори маки;4,000;245,00;39,35
Роллы;/Цезарь Тори нов;234,000;200,00;30,41
Роллы;/Калифорния сяке;214,000;335,00;94,39
Роллы;/Чикен ролл;204,000;194,28;53,38
Роллы;/Магуро маки;61,000;280,00;53,86
Роллы;/Ролл кунсей;127,500;200,00;73,69
Роллы;/Сяке гурме чиз;141,000;250,00;90,40
роллы бенто ланч;/Сяке тан1\2;272,000;110,00;20,16
роллы бенто ланч;/Магуро фреш1\2;66,000;87,00;26,83
роллы бенто ланч;/Лава маки1\2;97,000;149,00;33,66
роллы бенто ланч;/Унаги гома1\2;216,000;120,00;28,06
роллы бенто ланч;/Муругай маки 1\2;644,000;147,00;31,31
роллы бенто ланч;/Дабл крем чиз1\2;587,000;132,00;25,65
роллы бенто ланч;/Цезарь эби 1\2;154,000;152,00;38,00
роллы бенто ланч;/Калифорния эби 1\2;474,000;140,44;61,03
роллы бенто ланч;/Кунсей1\2;95,000;100,00;35,86
Роллы лето;/Магуро грин маки СБ;28,000;210,00;65,51
Роллы лето;/Абунаи маки СБ;24,000;195,00;53,91
Роллы лето;/Драгон маки СБ;41,000;395,00;177,72
Роллы лето;/Гарден бит маки СБ;8,000;165,00;28,10
Роллы лето;/Шикима маки СБ;15,000;210,00;57,68
Роллы лето;/Кани тамаго СБ;54,000;175,00;39,78
Роллы лето;/Хикаджи маки СБ;4,000;395,00;133,50
Салаты;/Кайсо сарада ;464,000;170,00;36,80
Салаты;/Салат Фунчеза со свининой;648,500;195,00;50,06
Салаты;/Салат Цезарь с курицей;804,000;220,00;63,47
Салаты;/Сяке фила сарада;436,000;250,00;87,18
Салаты;/Салат Цезарь с семгой;557,000;270,00;96,87
Салаты;/Салат с говядиной ростбиф;229,000;225,00;45,09
Салаты;/Салат с индейкой ;178,000;195,00;42,42
Салаты;/Токай СБ;7,000;231,43;98,10
Салаты;/Салат тропический СБ;17,000;270,00;99,69
Соус вок;/Соус кисло-сладкий нов;2,000;0,00;6,20
Соус вок;/Соус креветочный чили нов;603,000;0,04;4,16
Соус вок;/Соус сырно-сливочный нов;1 752,500;0,00;18,63
Соус вок;/Без соуса фк;5,500;0,00;0,00
Соус вок;/Соус перечный нов;169,000;0,00;15,38
Соус вок;/Соус острый перцовый нов;68,000;0,00;15,94
Соус вок;/Соус терияки нов;1 414,000;0,00;10,48
Соус вок;/Соус чесночно-имбирный нов;217,000;0,00;4,71
Супы;/Мисо суп;1 438,000;100,00;19,59
Супы;/ТОМ ЯМ;751,000;295,00;77,50
Супы;/Куриный крем-суп;591,000;180,00;56,00
Супы;/Том бан-бао;166,000;165,00;31,53
Супы;/Курими сяке годжи;167,500;210,00;65,12
Супы;/Грибной крем-суп;1 015,000;155,00;48,03
Супы;/Том Кха Кай ;340,000;209,38;59,08
Супы;/Клубничный суп СБ;22,000;186,14;25,85
Супы;/Клубничный суп с ликером СБ;2,000;220,00;23,65
Супы;/Манговый суп СБ;24,000;250,00;127,78
Суши по 2шт;/Сяке нигири 2шт;452,000;115,00;31,47
Суши по 2шт;/Икура 2шт;155,000;195,00;89,16
Суши по 2шт;/Спайси Сяке 2шт;196,000;150,00;34,57
Суши по 2шт;/Сяке Фила 2шт;257,000;150,00;66,65
Суши по 2шт;/Эби нигири 2шт;187,000;145,00;28,14
Суши по 2шт;/Унаги 2шт;196,000;180,00;70,09
Суши по 2шт;/Сяке Кунсей 2шт;131,000;140,00;42,28
