Группа;Название;Количество;Цена;Себестоимость
Роллы;/Филадельфия лайт;1 689,00;295;109,57
Роллы;/Магуро терияки;198;290;90,09
Роллы;/Рокки Маки;267,5;165;47,83
Роллы;/Тираши маки;68;145;6,19
Роллы;/Сяке крем маки;137;295;84,46
Роллы;/Филадельфия икура;500;440;230,73
Роллы;/Мексика маки ;108;250;79,23
Роллы;/Темпура сяке унаги;585,5;305;81,62
Роллы;/Магуро каппа;71;250;62
Роллы;/Ролл Гейша ;290;230;62,68
Роллы;/Унаги кани темпура;191;295;90,94
Роллы;/Ошизуши гриль;209;180;44,18
Роллы;/Сяке ошизуши;502;165;42,69
Роллы;/Тори маки;4;245;39,35
Роллы;/Цезарь Тори нов;234;200;30,41
Роллы;/Калифорния сяке;214;335;94,39
Роллы;/Чикен ролл;204;194,28;53,38
Роллы;/Магуро маки;61;280;53,86
Роллы;/Ролл кунсей;127,5;200;73,69
Роллы;/Сяке гурме чиз;141;250;90,4
роллы бенто ланч;/Сяке тан1\2;272;110;20,16
роллы бенто ланч;/Магуро фреш1\2;66;87;26,83
роллы бенто ланч;/Лава маки1\2;97;149;33,66
роллы бенто ланч;/Унаги гома1\2;216;120;28,06
роллы бенто ланч;/Муругай маки 1\2;644;147;31,31
роллы бенто ланч;/Дабл крем чиз1\2;587;132;25,65
роллы бенто ланч;/Цезарь эби 1\2;154;152;38
роллы бенто ланч;/Калифорния эби 1\2;474;140,44;61,03
роллы бенто ланч;/Кунсей1\2;95;100;35,86
Роллы лето;/Магуро грин маки СБ;28;210;65,51
Роллы лето;/Абунаи маки СБ;24;195;53,91
Роллы лето;/Драгон маки СБ;41;395;177,72
Роллы лето;/Гарден бит маки СБ;8;165;28,1
Роллы лето;/Шикима маки СБ;15;210;57,68
Роллы лето;/Кани тамаго СБ;54;175;39,78
Роллы лето;/Хикаджи маки СБ;4;395;133,5
Салаты;/Кайсо сарада ;464;170;36,8
Салаты;/Салат Фунчеза со свининой;648,5;195;50,06
Салаты;/Салат Цезарь с курицей;804;220;63,47
Салаты;/Сяке фила сарада;436;250;87,18
Салаты;/Салат Цезарь с семгой;557;270;96,87
Салаты;/Салат с говядиной ростбиф;229;225;45,09
Салаты;/Салат с индейкой ;178;195;42,42
Салаты;/Токай СБ;7;231,43;98,1
Салаты;/Салат тропический СБ;17;270;99,69
Соус вок;/Соус кисло-сладкий нов;2;0;6,2
Соус вок;/Соус креветочный чили нов;603;0,04;4,16
Соус вок;/Соус сырно-сливочный нов;1 752,50;0;18,63
Соус вок;/Без соуса фк;5,5;0;0
Соус вок;/Соус перечный нов;169;0;15,38
Соус вок;/Соус острый перцовый нов;68;0;15,94
Соус вок;/Соус терияки нов;1 414,00;0;10,48
Соус вок;/Соус чесночно-имбирный нов;217;0;4,71
Супы;/Мисо суп;1 438,00;100;19,59
Супы;/ТОМ ЯМ;751;295;77,5
Супы;/Куриный крем-суп;591;180;56
Супы;/Том бан-бао;166;165;31,53
Супы;/Курими сяке годжи;167,5;210;65,12
Супы;/Грибной крем-суп;1 015,00;155;48,03
Супы;/Том Кха Кай ;340;209,38;59,08
Супы;/Клубничный суп СБ;22;186,14;25,85
Супы;/Клубничный суп с ликером СБ;2;220;23,65
Супы;/Манговый суп СБ;24;250;127,78
Суши по 2шт;/Сяке нигири 2шт;452;115;31,47
Суши по 2шт;/Икура 2шт;155;195;89,16
Суши по 2шт;/Спайси Сяке 2шт;196;150;34,57
Суши по 2шт;/Сяке Фила 2шт;257;150;66,65
Суши по 2шт;/Эби нигири 2шт;187;145;28,14
Суши по 2шт;/Унаги 2шт;196;180;70,09
Суши по 2шт;/Сяке Кунсей 2шт;131;140;42,28
